datetime,ISIN,opening_price_eur,closing_price_eur,minimum_price_eur,maximum_price_eur,daily_traded_volume,StartPrice_eur,EndPrice_eur,desviacion_estandar,EndPrice_mxn
2022-12-31 08:02:00,DE000A1ML7J1,45.96,47.5,45.91,47.66,3153240,45.96,45.99,0.02121320343559723,883.008
2022-12-31 08:07:00,DE000A1MMCC8,30.0,32.25,30.0,32.25,19961,30.0,30.0,0.0,576.0
2022-12-31 08:26:00,DE000A1MME74,52.5,51.0,50.5,53.0,687,50.5,50.5,0.0,969.5999999999999
2022-12-31 09:10:00,DE000A1MMEV4,1.31,1.29,1.25,1.31,8204,1.28,1.25,0.021213203435596444,24.0
2022-12-31 08:14:00,DE000A1N3G19,4.9266,4.9034,4.8946,4.9796,7276,4.8946,4.8946,0.0,93.97631999999999
2022-12-31 08:19:00,DE000A1N49P6,39.234,38.952,38.924,39.794,12172,38.924,38.924,0.0,747.3408
2022-12-31 08:04:00,DE000A1N49Q4,49.966,49.666,49.666,50.385,268,49.666,49.666,0.0,953.5871999999999
2022-12-31 08:04:00,DE000A1NZLJ4,7.234,7.29,7.234,7.29,1786,7.234,7.234,0.0,138.8928
2022-12-31 08:04:00,DE000A1NZLK2,6.461,6.444,6.444,6.478,200,6.444,6.444,0.0,123.72479999999999
2022-12-31 08:04:00,DE000A1NZLL0,8.1235,8.09,8.09,8.1245,625,8.09,8.09,0.0,155.328
2022-12-31 08:14:00,DE000A1NZLM8,2.7158,2.7048,2.7048,2.741,15812,2.7048,2.7048,0.0,51.93216
2022-12-31 08:04:00,DE000A1NZLN6,7.6975,7.715,7.6975,7.7555,931,7.6975,7.6975,0.0,147.792
